,t,blocked mean,interleaved mean,early mean,middle mean,late mean,instructed mean,blocked stddev,interleaved stddev,early stddev,middle stddev,late stddev,instructed stddev
121,121,0.8481645431134599,0.6101909362778929,0.8823938321536906,0.4725756910925845,0.6354515050167223,0.6896551724137931,0.3605393737494673,0.49258864329399293,0.32538198855401523,0.5034862179891111,0.4809622808530181,0.4666753088820376
122,122,0.881120527306968,0.5584415584415584,0.9056016177957532,0.5787098306695171,0.6697530864197531,0.6493506493506493,0.3268372868657583,0.5017617071690548,0.29331627848856234,0.4856022776468131,0.4729009000122283,0.4803023654629545
123,123,0.8456987527982092,0.5629251700680272,0.8620423057892131,0.6090947990819622,0.7570850202429149,0.7971014492753623,0.3643649867449243,0.5012664302035789,0.3469925021450802,0.4809173064797103,0.4314101542524475,0.4051038408971624
124,124,0.9075019260400616,0.5756415812027541,0.903467083990196,0.6587008294325368,0.7308609846020385,0.6756756756756757,0.29218721066316444,0.4981826363531191,0.2939919791780815,0.4785693882908579,0.4486286603410115,0.4713172478992738
125,125,0.9567962778331672,0.7151234744197559,0.8787327266599259,0.6132231404958678,0.7463450292397661,0.7027027027027027,0.1988961626641696,0.4556406830354608,0.32856416657926324,0.4917451075723268,0.4316932246208864,0.4601884584090189
126,126,0.932493118933797,0.6050125313283209,0.9048738248391888,0.6541110997997897,0.6885780885780886,0.676056338028169,0.2531631492844142,0.4903004977557091,0.2949508542245601,0.4773352501071314,0.4560495248957505,0.4713096612426741
127,127,0.929432855280313,0.6165280927185689,0.8736392874814448,0.5981703830760434,0.7457561728395061,0.6714285714285714,0.25863178186764324,0.4909874660523084,0.3358097879955101,0.4949376201032171,0.4398773618247317,0.473085112648373
128,128,0.9901873327386264,0.6456084656084656,0.9164513350559862,0.663961038961039,0.7498834498834498,0.7352941176470589,0.09924305700863828,0.4829981064194094,0.2791676635595361,0.4770081976862881,0.4200269003419094,0.4444566382094698
129,129,0.9327759266327617,0.6218266156835706,0.8995348837209303,0.685064935064935,0.7735632183908046,0.7042253521126759,0.2455580428444918,0.4894700970706663,0.30302933767588364,0.4681301477866209,0.4196093729965423,0.4596385597769217
130,130,0.9658009113741296,0.6624922696351268,0.8616300642878717,0.6667009461127108,0.7519047619047621,0.8169014084507042,0.1831999029458405,0.4770993269421369,0.3459034701867186,0.4714765058042549,0.4367106542885539,0.3895000148516256
131,131,0.9730197163611208,0.6446326958456339,0.9065017318159326,0.6044447758967858,0.7701149425287356,0.6470588235294118,0.16041813426681836,0.4832070463143983,0.2939146549294947,0.4911500517192736,0.42547549759703895,0.4814377064012165
132,132,0.938510051241624,0.6874725274725274,0.9286365709074326,0.6839225589225589,0.7754036087369419,0.6811594202898551,0.23219357097785998,0.4661478985481585,0.2598174611120093,0.4668299063427934,0.4221893689572387,0.4694412706232431
133,133,0.9743318633441372,0.4933706816059757,0.8969835996414071,0.6343434343434343,0.7874608150470218,0.6794871794871795,0.1591633845635847,0.5047450251356324,0.29568671970706434,0.4807842215343374,0.4074484540253782,0.469694284202736
134,134,0.9659751265683468,0.6540462608913684,0.8832261256803563,0.7609479469317745,0.7784615384615385,0.7014925373134329,0.18183083928499505,0.480396939559519,0.32443003149047744,0.42988319040517786,0.418419081243406,0.4610569337463495
